,uncertainty,certainty,mae_24,rmse_24,mdpe_24,mae_combined,rmse_combined,mdpe_combined
11847,0.09909207310243862,0.9009079268975614,0.42843927376262925,0.5558286117098413,0.6470394581126224,0.5127563788594901,0.5828623732363543,0.6535432748737023
11848,0.10062471307906817,0.8993752869209318,0.4295015325817471,0.5538059150282281,0.6459486787473915,0.5651174816375428,0.614240930953079,0.676614464430986
11849,0.09993369143934328,0.9000663085606567,0.45655011206265445,0.5597874528965578,0.6514958397332568,0.36864530192031064,0.5225929485596829,0.6276489352531167
11850,0.09939668386082734,0.9006033161391727,0.48137573771403463,0.5628864822874243,0.6545316038512266,0.4595187975492185,0.5429724855097904,0.6373410481864432
11851,0.10018555493372172,0.8998144450662783,0.49006485539620603,0.5652576158142589,0.6597678185006847,0.5533717507752716,0.623781824752671,0.719720943011544
11852,0.0974211513855886,0.9025788486144114,0.54010223866423,0.5878193327047989,0.7268490219439494,0.58964125422047,0.6143833321393453,0.7666771436868428
11853,0.09467725320750542,0.9053227467924946,0.5651608977900309,0.5899127992332986,0.7295213690059299,0.7895832563447435,0.8180591342598407,0.9378403348014936
11854,0.10766096208140996,0.89233903791859,0.585418542928433,0.6432394043667227,0.7229576191738856,0.6215969024145203,0.6397904539081775,0.7077945778824963
11855,0.09950602700666111,0.9004939729933389,0.6147454018009512,0.6515967140426485,0.7330087851936765,0.6377659554742917,0.6192830681124049,0.628597728762787
11856,0.1080286293609799,0.8919713706390201,0.339236224102621,0.43208696697872245,0.41913116330725114,0.5351670026959991,0.5490685192991872,0.5568042828771699
11857,0.10786606978534108,0.8921339302146589,0.36271823738804676,0.4487456944746691,0.43578954133914244,0.41978436279602943,0.44922238529855846,0.4010680329076507
11858,0.10825821054437601,0.891741789455624,0.38404372854436675,0.4597362982682927,0.4465791637298431,0.44655371319151077,0.4550837822013952,0.38191693611865923
11859,0.1080408300673984,0.8919591699326016,0.427391477067584,0.4782591067630143,0.4534095292873067,0.43745266243316117,0.48046749471336936,0.4613190964710987
11860,0.08947960371218533,0.9105203962878147,0.7232780283824964,0.7855706408151554,0.9121112769182139,0.4249779888556511,0.48668220184652844,0.5176113508320564
11861,0.10838870345441765,0.8916112965455824,0.5291229123063556,0.7159123845469286,0.7555745974392188,0.5948234693464174,0.6696702611415589,0.6363511979487699
11862,0.12010458894472675,0.8798954110552732,0.5906530696516489,0.7660309084113113,0.7637943707060947,0.5279909647413117,0.7153090306691591,0.7959144636963178
11863,0.09930127230641661,0.9006987276935834,0.6183673160413774,0.7750064945352871,0.7882592073875273,0.4127039649303325,0.6263259154369594,0.758019454145221
